County Name,Census County Code,Michigan County Code
ALCONA,1,1
ALGER,3,2
ALLEGAN,5,3
ALPENA,7,4
ANTRIM,9,5
ARENAC,11,6
BARAGA,13,7
BARRY,15,8
BAY,17,9
BENZIE,19,10
BERRIEN,21,11
BRANCH,23,12
CALHOUN,25,13
CASS,27,14
CHARLEVOIX,29,15
CHEBOYGAN,31,16
CHIPPEWA,33,17
CLARE,35,18
CLINTON,37,19
CRAWFORD,39,20
DELTA,41,21
DICKINSON,43,22
EATON,45,23
EMMET,47,24
GENESEE,49,25
GLADWIN,51,26
GOGEBIC,53,27
GD. TRAVERSE,55,28
GRATIOT,57,29
HILLSDALE,59,30
HOUGHTON,61,31
HURON,63,32
INGHAM,65,33
IONIA,67,34
IOSCO,69,35
IRON,71,36
ISABELLA,73,37
JACKSON,75,38
KALAMAZOO,77,39
KALKASKA,79,40
KENT,81,41
KEWEENAW,83,42
LAKE,85,43
LAPEER,87,44
LEELANAU,89,45
LENAWEE,91,46
LIVINGSTON,93,47
LUCE,95,48
MACKINAC,97,49
MACOMB,99,50
MANISTEE,101,51
MARQUETTE,103,52
MASON,105,53
MECOSTA,107,54
MENOMINEE,109,55
MIDLAND,111,56
MISSAUKEE,113,57
MONROE,115,58
MONTCALM,117,59
MONTMORENCY,119,60
MUSKEGON,121,61
NEWAYGO,123,62
OAKLAND,125,63
OCEANA,127,64
OGEMAW,129,65
ONTONAGON,131,66
OSCEOLA,133,67
OSCODA,135,68
OTSEGO,137,69
OTTAWA,139,70
PRESQUE ISLE,141,71
ROSCOMMON,143,72
SAGINAW,145,73
ST. CLAIR,147,74
ST. JOSEPH,149,75
SANILAC,151,76
SCHOOLCRAFT,153,77
SHIAWASSEE,155,78
TUSCOLA,157,79
VAN BUREN,159,80
WASHTENAW,161,81
WAYNE,163,82
WEXFORD,165,83